Time(0.1s),J2_Torque(Nm),J3_Torque(Nm)
0.1,177.0000,-195.0000
0.2,176.0000,-195.0000
0.3,176.0000,-195.0000
0.4,176.0000,-195.0000
0.5,176.0000,-195.0000
0.6,176.0000,-195.0000
0.7,176.0000,-195.0000
0.8,176.0000,-195.0000
0.9,177.0000,-195.0000
1.0,177.0000,-195.0000
1.1,176.0000,-194.0000
1.2,177.0000,-194.0000
1.3,177.0000,-194.0000
1.4,177.0000,-194.0000
1.5,176.0000,-194.0000
1.6,176.0000,-194.0000
1.7,176.0000,-194.0000
1.8,178.0000,-194.0000
1.9,177.0000,-194.0000
2.0,176.0000,-194.0000
2.1,176.0000,-194.0000
2.2,176.0000,-194.0000
2.3,177.0000,-193.0000
2.4,176.0000,-193.0000
2.5,177.0000,-194.0000
2.6,177.0000,-194.0000
2.7,177.0000,-194.0000
2.8,177.0000,-194.0000
2.9,176.0000,-194.0000
3.0,176.0000,-194.0000
3.1,177.0000,-194.0000
3.2,177.0000,-194.0000
3.3,177.0000,-194.0000
3.4,177.0000,-194.0000
3.5,176.0000,-194.0000
3.6,177.0000,-194.0000
3.7,176.0000,-194.0000
3.8,176.0000,-194.0000
3.9,177.0000,-193.0000
4.0,177.0000,-193.0000
4.1,176.0000,-193.0000
4.2,176.0000,-193.0000
4.3,176.0000,-193.0000
4.4,177.0000,-193.0000
4.5,176.0000,-193.0000
4.6,177.0000,-193.0000
4.7,176.0000,-193.0000
4.8,176.0000,-193.0000
4.9,176.0000,-193.0000
5.0,176.0000,-193.0000
5.1,176.0000,-193.0000
5.2,177.0000,-193.0000
5.3,176.0000,-193.0000
5.4,177.0000,-193.0000
5.5,176.0000,-193.0000
5.6,176.0000,-193.0000
5.7,176.0000,-193.0000
5.8,177.0000,-193.0000
5.9,176.0000,-193.0000
6.0,178.0000,-193.0000
6.1,176.0000,-193.0000
6.2,176.0000,-193.0000
6.3,177.0000,-193.0000
6.4,176.0000,-193.0000
6.5,177.0000,-193.0000
6.6,176.0000,-193.0000
6.7,177.0000,-193.0000
6.8,176.0000,-193.0000
6.9,176.0000,-193.0000
7.0,177.0000,-193.0000
7.1,177.0000,-193.0000
7.2,177.0000,-193.0000
7.3,177.0000,-193.0000
7.4,176.0000,-193.0000
7.5,177.0000,-193.0000
7.6,177.0000,-193.0000
7.7,177.0000,-194.0000
7.8,176.0000,-194.0000
7.9,176.0000,-194.0000
8.0,176.0000,-194.0000
8.1,177.0000,-194.0000
8.2,176.0000,-194.0000
8.3,177.0000,-194.0000
8.4,177.0000,-194.0000
8.5,176.0000,-194.0000
8.6,177.0000,-194.0000
8.7,176.0000,-194.0000
8.8,177.0000,-194.0000
8.9,177.0000,-194.0000
9.0,176.0000,-194.0000
9.1,176.0000,-194.0000
9.2,176.0000,-194.0000
9.3,176.0000,-194.0000
9.4,177.0000,-194.0000
9.5,178.0000,-194.0000
9.6,177.0000,-194.0000
9.7,177.0000,-194.0000
9.8,177.0000,-194.0000
9.9,177.0000,-194.0000
10.0,176.0000,-194.0000
10.1,177.0000,-194.0000
10.2,176.0000,-194.0000
10.3,178.0000,-194.0000
10.4,176.0000,-194.0000
10.5,176.0000,-194.0000
10.6,177.0000,-194.0000
10.7,177.0000,-194.0000
10.8,177.0000,-194.0000
10.9,177.0000,-194.0000
11.0,176.0000,-194.0000
11.1,177.0000,-194.0000
11.2,176.0000,-194.0000
11.3,176.0000,-194.0000
11.4,177.0000,-194.0000
11.5,177.0000,-194.0000
11.6,178.0000,-194.0000
11.7,176.0000,-194.0000
11.8,177.0000,-194.0000
11.9,177.0000,-194.0000
12.0,176.0000,-194.0000
12.1,177.0000,-194.0000
12.2,177.0000,-194.0000
12.3,177.0000,-194.0000
12.4,176.0000,-194.0000
12.5,176.0000,-194.0000
12.6,176.0000,-194.0000
12.7,176.0000,-194.0000
12.8,177.0000,-194.0000
12.9,176.0000,-194.0000
13.0,177.0000,-194.0000
13.1,176.0000,-194.0000
13.2,177.0000,-194.0000
13.3,177.0000,-194.0000
13.4,177.0000,-194.0000
13.5,176.0000,-194.0000
13.6,177.0000,-194.0000
13.7,176.0000,-193.0000
13.8,177.0000,-193.0000
13.9,177.0000,-193.0000
14.0,177.0000,-193.0000
14.1,177.0000,-193.0000
14.2,176.0000,-193.0000
14.3,177.0000,-193.0000
14.4,177.0000,-193.0000
14.5,177.0000,-193.0000
14.6,176.0000,-193.0000
14.7,176.0000,-193.0000
14.8,176.0000,-193.0000
14.9,177.0000,-193.0000
15.0,177.0000,-193.0000
15.1,177.0000,-193.0000
15.2,176.0000,-193.0000
15.3,176.0000,-193.0000
15.4,177.0000,-193.0000
15.5,177.0000,-193.0000
15.6,176.0000,-193.0000
15.7,177.0000,-193.0000
15.8,177.0000,-193.0000
15.9,176.0000,-193.0000
16.0,177.0000,-193.0000
16.1,176.0000,-193.0000
16.2,176.0000,-193.0000
16.3,177.0000,-193.0000
16.4,177.0000,-193.0000
16.5,177.0000,-193.0000
16.6,176.0000,-193.0000
16.7,177.0000,-193.0000
16.8,177.0000,-193.0000
17.0,176.0000,-193.0000
17.0,177.0000,-193.0000
17.1,177.0000,-193.0000
17.2,176.0000,-193.0000
17.3,177.0000,-193.0000
17.4,176.0000,-193.0000
17.5,176.0000,-193.0000
17.6,176.0000,-193.0000
17.7,177.0000,-193.0000
17.8,177.0000,-193.0000
17.9,177.0000,-194.0000
18.0,176.0000,-194.0000
18.1,176.0000,-194.0000
18.2,178.0000,-194.0000
18.3,177.0000,-194.0000
18.4,176.0000,-194.0000
18.5,177.0000,-194.0000
18.6,176.0000,-194.0000
18.7,176.0000,-194.0000
18.8,177.0000,-194.0000
18.9,177.0000,-194.0000
19.0,177.0000,-194.0000
19.1,178.0000,-194.0000
19.2,177.0000,-194.0000
19.3,177.0000,-194.0000
19.4,177.0000,-194.0000
19.5,177.0000,-194.0000
19.6,176.0000,-194.0000
19.7,176.0000,-194.0000
19.8,176.0000,-194.0000
19.9,176.0000,-194.0000
20.0,177.0000,-194.0000
20.1,177.0000,-194.0000
20.2,177.0000,-194.0000
20.3,176.0000,-194.0000
20.4,176.0000,-194.0000
20.5,177.0000,-194.0000
20.6,177.0000,-194.0000
20.7,177.0000,-194.0000
20.8,176.0000,-194.0000
20.9,176.0000,-194.0000
21.0,176.0000,-194.0000
21.1,177.0000,-194.0000
21.2,176.0000,-194.0000
21.3,177.0000,-194.0000
21.4,176.0000,-194.0000
21.5,177.0000,-194.0000
21.6,177.0000,-194.0000
21.7,177.0000,-194.0000
21.8,177.0000,-194.0000
21.9,176.0000,-194.0000
22.0,177.0000,-194.0000
22.1,177.0000,-194.0000
22.2,176.0000,-194.0000
22.3,176.0000,-194.0000
22.4,176.0000,-194.0000
22.5,177.0000,-194.0000
22.6,177.0000,-194.0000
22.7,177.0000,-194.0000
22.8,176.0000,-194.0000
22.9,177.0000,-194.0000
23.0,177.0000,-194.0000
23.1,178.0000,-194.0000
23.2,176.0000,-194.0000
