Time(0.1s),J2_Torque(Nm),J3_Torque(Nm)
0.1,180.0000,-195.0000
0.2,180.0000,-195.0000
0.3,180.0000,-195.0000
0.4,180.0000,-195.0000
0.5,180.0000,-195.0000
0.6,179.0000,-195.0000
0.7,180.0000,-195.0000
0.8,179.0000,-195.0000
0.9,179.0000,-196.0000
1.0,180.0000,-196.0000
1.1,179.0000,-196.0000
1.2,180.0000,-196.0000
1.3,179.0000,-196.0000
1.4,180.0000,-196.0000
1.5,180.0000,-196.0000
1.6,180.0000,-196.0000
1.7,179.0000,-196.0000
1.8,178.0000,-196.0000
1.9,180.0000,-196.0000
2.0,179.0000,-196.0000
2.1,179.0000,-196.0000
2.2,179.0000,-196.0000
2.3,180.0000,-196.0000
2.4,180.0000,-196.0000
2.5,179.0000,-196.0000
2.6,180.0000,-196.0000
2.7,180.0000,-196.0000
2.8,179.0000,-196.0000
2.9,179.0000,-196.0000
3.0,179.0000,-196.0000
3.1,179.0000,-196.0000
3.2,180.0000,-196.0000
3.3,180.0000,-196.0000
3.4,179.0000,-196.0000
3.5,179.0000,-196.0000
3.6,180.0000,-196.0000
3.7,180.0000,-196.0000
3.8,179.0000,-196.0000
3.9,180.0000,-196.0000
4.0,179.0000,-196.0000
4.1,180.0000,-196.0000
4.2,179.0000,-195.0000
4.3,179.0000,-195.0000
4.4,179.0000,-195.0000
4.5,180.0000,-195.0000
4.6,180.0000,-195.0000
4.7,180.0000,-195.0000
4.8,180.0000,-195.0000
4.9,180.0000,-195.0000
5.0,180.0000,-195.0000
5.1,180.0000,-195.0000
5.2,179.0000,-195.0000
5.3,179.0000,-195.0000
5.4,179.0000,-195.0000
5.5,179.0000,-195.0000
5.6,180.0000,-195.0000
5.7,180.0000,-195.0000
5.8,180.0000,-195.0000
5.9,180.0000,-195.0000
6.0,179.0000,-195.0000
6.1,179.0000,-195.0000
6.2,179.0000,-195.0000
6.3,180.0000,-195.0000
6.4,180.0000,-195.0000
6.5,180.0000,-195.0000
6.6,180.0000,-195.0000
6.7,180.0000,-195.0000
6.8,180.0000,-195.0000
6.9,180.0000,-195.0000
7.0,180.0000,-195.0000
7.1,180.0000,-194.0000
7.2,180.0000,-194.0000
7.3,180.0000,-194.0000
7.4,179.0000,-195.0000
7.5,180.0000,-195.0000
7.6,179.0000,-195.0000
7.7,179.0000,-195.0000
7.8,180.0000,-195.0000
7.9,179.0000,-195.0000
8.0,180.0000,-195.0000
8.1,179.0000,-195.0000
8.2,180.0000,-195.0000
8.3,179.0000,-194.0000
8.4,180.0000,-194.0000
8.5,179.0000,-194.0000
8.6,180.0000,-194.0000
8.7,179.0000,-194.0000
8.8,179.0000,-194.0000
8.9,180.0000,-194.0000
9.0,180.0000,-194.0000
9.1,179.0000,-194.0000
9.2,180.0000,-194.0000
9.3,180.0000,-194.0000
9.4,180.0000,-194.0000
9.5,180.0000,-194.0000
9.6,179.0000,-195.0000
9.7,179.0000,-195.0000
9.8,179.0000,-195.0000
9.9,179.0000,-195.0000
10.0,180.0000,-195.0000
10.1,180.0000,-195.0000
10.2,180.0000,-195.0000
10.3,180.0000,-195.0000
10.4,180.0000,-195.0000
10.5,180.0000,-195.0000
10.6,179.0000,-195.0000
10.7,179.0000,-195.0000
10.8,179.0000,-195.0000
10.9,179.0000,-195.0000
11.0,180.0000,-195.0000
11.1,179.0000,-195.0000
11.2,180.0000,-195.0000
11.3,180.0000,-195.0000
11.4,180.0000,-195.0000
11.5,179.0000,-195.0000
11.6,179.0000,-195.0000
11.7,180.0000,-195.0000
11.8,180.0000,-195.0000
11.9,179.0000,-195.0000
12.0,180.0000,-195.0000
12.1,179.0000,-195.0000
12.2,179.0000,-195.0000
12.3,179.0000,-195.0000
12.4,179.0000,-195.0000
12.5,179.0000,-195.0000
12.6,179.0000,-195.0000
12.7,179.0000,-195.0000
12.8,179.0000,-195.0000
12.9,180.0000,-195.0000
13.0,180.0000,-195.0000
13.1,180.0000,-195.0000
13.2,180.0000,-195.0000
13.3,180.0000,-195.0000
13.4,179.0000,-195.0000
13.5,180.0000,-195.0000
13.6,180.0000,-195.0000
13.7,179.0000,-195.0000
13.8,180.0000,-195.0000
13.9,180.0000,-195.0000
14.0,179.0000,-195.0000
14.1,180.0000,-195.0000
14.2,180.0000,-195.0000
14.3,179.0000,-195.0000
14.4,180.0000,-195.0000
14.5,179.0000,-195.0000
14.6,179.0000,-196.0000
14.7,180.0000,-196.0000
14.8,179.0000,-196.0000
14.9,179.0000,-196.0000
15.0,179.0000,-195.0000
15.1,179.0000,-195.0000
15.2,180.0000,-195.0000
15.3,180.0000,-195.0000
15.4,178.0000,-195.0000
15.5,179.0000,-195.0000
15.6,179.0000,-195.0000
15.7,179.0000,-195.0000
15.8,180.0000,-195.0000
15.9,180.0000,-195.0000
16.0,180.0000,-195.0000
16.1,179.0000,-195.0000
16.2,179.0000,-195.0000
16.3,180.0000,-195.0000
16.4,179.0000,-195.0000
16.5,179.0000,-195.0000
16.6,179.0000,-195.0000
16.7,180.0000,-195.0000
16.8,180.0000,-195.0000
16.9,179.0000,-195.0000
17.0,180.0000,-195.0000
17.1,180.0000,-195.0000
17.2,180.0000,-195.0000
17.3,180.0000,-195.0000
17.4,179.0000,-195.0000
17.5,180.0000,-195.0000
17.6,180.0000,-195.0000
17.7,179.0000,-195.0000
17.8,179.0000,-195.0000
17.9,179.0000,-195.0000
18.0,179.0000,-195.0000
18.1,179.0000,-195.0000
18.2,179.0000,-195.0000
18.3,179.0000,-195.0000
18.4,179.0000,-195.0000
18.5,180.0000,-195.0000
18.6,179.0000,-195.0000
18.7,180.0000,-195.0000
18.8,180.0000,-195.0000
18.9,179.0000,-195.0000
19.0,180.0000,-195.0000
19.1,180.0000,-195.0000
19.2,180.0000,-195.0000
19.3,180.0000,-195.0000
19.4,179.0000,-195.0000
19.5,179.0000,-195.0000
19.6,179.0000,-195.0000
19.7,180.0000,-195.0000
19.8,180.0000,-195.0000
19.9,180.0000,-195.0000
20.0,180.0000,-195.0000
20.1,180.0000,-195.0000
20.2,179.0000,-195.0000
20.3,180.0000,-195.0000
20.4,179.0000,-195.0000
20.5,179.0000,-195.0000
20.6,179.0000,-196.0000
20.7,180.0000,-196.0000
20.8,180.0000,-196.0000
20.9,180.0000,-196.0000
21.0,178.0000,-196.0000
21.1,180.0000,-196.0000
21.2,180.0000,-196.0000
21.3,180.0000,-196.0000
21.4,180.0000,-196.0000
21.5,180.0000,-196.0000
21.6,179.0000,-196.0000
21.7,180.0000,-196.0000
