Time(0.1s),J2_Torque(Nm),J3_Torque(Nm)
0.1,188.0000,-194.0000
0.2,188.0000,-194.0000
0.3,187.0000,-194.0000
0.4,187.0000,-194.0000
0.5,187.0000,-194.0000
0.6,187.0000,-194.0000
0.7,188.0000,-194.0000
0.8,188.0000,-194.0000
0.9,187.0000,-194.0000
1.0,187.0000,-194.0000
1.1,188.0000,-194.0000
1.2,188.0000,-194.0000
1.3,188.0000,-194.0000
1.4,187.0000,-194.0000
1.5,188.0000,-194.0000
1.6,187.0000,-194.0000
1.7,187.0000,-194.0000
1.8,187.0000,-194.0000
1.9,188.0000,-193.0000
2.0,188.0000,-193.0000
2.1,187.0000,-193.0000
2.2,187.0000,-193.0000
2.3,188.0000,-193.0000
2.4,187.0000,-193.0000
2.5,187.0000,-193.0000
2.6,188.0000,-193.0000
2.7,187.0000,-193.0000
2.8,187.0000,-193.0000
2.9,187.0000,-193.0000
3.0,188.0000,-193.0000
3.1,188.0000,-193.0000
3.2,187.0000,-193.0000
3.3,188.0000,-193.0000
3.4,188.0000,-193.0000
3.5,187.0000,-193.0000
3.6,187.0000,-193.0000
3.7,188.0000,-193.0000
3.8,187.0000,-193.0000
3.9,187.0000,-193.0000
4.0,187.0000,-193.0000
4.1,187.0000,-193.0000
4.2,188.0000,-193.0000
4.3,187.0000,-193.0000
4.4,187.0000,-193.0000
4.5,188.0000,-193.0000
4.6,188.0000,-193.0000
4.7,188.0000,-193.0000
4.8,188.0000,-193.0000
4.9,187.0000,-193.0000
5.0,187.0000,-193.0000
5.1,188.0000,-193.0000
5.2,188.0000,-193.0000
5.3,188.0000,-193.0000
5.4,187.0000,-193.0000
5.5,187.0000,-193.0000
5.6,188.0000,-193.0000
5.7,187.0000,-193.0000
5.8,187.0000,-193.0000
5.9,188.0000,-193.0000
6.0,188.0000,-193.0000
6.1,188.0000,-193.0000
6.2,187.0000,-193.0000
6.3,188.0000,-193.0000
6.4,188.0000,-193.0000
6.5,187.0000,-193.0000
6.6,188.0000,-193.0000
6.7,188.0000,-193.0000
6.8,187.0000,-193.0000
6.9,187.0000,-193.0000
7.0,188.0000,-193.0000
7.1,188.0000,-193.0000
7.2,188.0000,-193.0000
7.3,188.0000,-193.0000
7.4,188.0000,-193.0000
7.5,188.0000,-193.0000
7.6,187.0000,-193.0000
7.7,187.0000,-193.0000
7.8,187.0000,-193.0000
7.9,187.0000,-193.0000
8.0,187.0000,-193.0000
8.1,188.0000,-193.0000
8.2,188.0000,-193.0000
8.3,187.0000,-193.0000
8.4,187.0000,-193.0000
8.5,188.0000,-193.0000
8.6,188.0000,-193.0000
8.7,188.0000,-193.0000
8.8,188.0000,-193.0000
8.9,188.0000,-192.0000
9.0,188.0000,-192.0000
9.1,188.0000,-192.0000
9.2,188.0000,-192.0000
9.3,187.0000,-192.0000
9.4,187.0000,-192.0000
9.5,187.0000,-192.0000
9.6,187.0000,-192.0000
9.7,187.0000,-192.0000
9.8,188.0000,-192.0000
9.9,188.0000,-192.0000
10.0,188.0000,-192.0000
10.1,187.0000,-193.0000
10.2,187.0000,-193.0000
10.3,187.0000,-193.0000
10.4,188.0000,-193.0000
10.5,188.0000,-193.0000
10.6,188.0000,-193.0000
10.7,188.0000,-193.0000
10.8,187.0000,-193.0000
10.9,187.0000,-193.0000
11.0,188.0000,-193.0000
11.1,188.0000,-193.0000
11.2,187.0000,-193.0000
11.3,187.0000,-193.0000
11.4,187.0000,-192.0000
11.5,187.0000,-192.0000
11.6,188.0000,-192.0000
11.7,187.0000,-192.0000
11.8,188.0000,-192.0000
11.9,187.0000,-192.0000
12.0,186.0000,-192.0000
12.1,187.0000,-192.0000
12.2,188.0000,-192.0000
12.3,187.0000,-192.0000
12.4,188.0000,-192.0000
12.5,188.0000,-192.0000
12.6,186.0000,-192.0000
12.7,187.0000,-192.0000
12.8,187.0000,-192.0000
12.9,187.0000,-192.0000
13.0,187.0000,-192.0000
13.1,187.0000,-192.0000
13.2,187.0000,-192.0000
13.3,187.0000,-192.0000
13.4,187.0000,-192.0000
13.5,188.0000,-192.0000
13.6,188.0000,-192.0000
13.7,188.0000,-192.0000
13.8,187.0000,-192.0000
13.9,188.0000,-193.0000
14.0,187.0000,-193.0000
14.1,188.0000,-192.0000
14.2,187.0000,-192.0000
14.3,187.0000,-192.0000
14.4,188.0000,-192.0000
14.5,187.0000,-192.0000
14.6,187.0000,-192.0000
14.7,187.0000,-192.0000
14.8,188.0000,-192.0000
14.9,187.0000,-192.0000
15.0,188.0000,-192.0000
15.1,187.0000,-192.0000
15.2,187.0000,-192.0000
15.3,188.0000,-192.0000
15.4,187.0000,-192.0000
15.5,187.0000,-193.0000
15.6,188.0000,-193.0000
15.7,188.0000,-193.0000
15.8,187.0000,-193.0000
15.9,188.0000,-193.0000
16.0,188.0000,-193.0000
16.1,187.0000,-193.0000
16.2,188.0000,-193.0000
16.3,188.0000,-193.0000
16.4,188.0000,-193.0000
16.5,188.0000,-193.0000
16.6,187.0000,-193.0000
16.7,188.0000,-193.0000
16.8,187.0000,-193.0000
16.9,187.0000,-193.0000
17.0,188.0000,-193.0000
17.1,188.0000,-193.0000
17.2,187.0000,-193.0000
17.3,188.0000,-193.0000
17.4,188.0000,-193.0000
17.5,187.0000,-193.0000
17.6,188.0000,-193.0000
17.7,187.0000,-193.0000
17.8,187.0000,-193.0000
17.9,188.0000,-193.0000
18.0,188.0000,-193.0000
18.1,188.0000,-193.0000
18.2,187.0000,-193.0000
18.3,188.0000,-193.0000
18.4,188.0000,-193.0000
18.5,187.0000,-193.0000
18.6,188.0000,-193.0000
18.7,188.0000,-192.0000
18.8,187.0000,-192.0000
18.9,187.0000,-192.0000
19.0,187.0000,-192.0000
19.1,188.0000,-192.0000
19.2,187.0000,-192.0000
19.3,188.0000,-192.0000
19.4,188.0000,-192.0000
19.5,188.0000,-192.0000
19.6,186.0000,-192.0000
19.7,188.0000,-192.0000
19.8,187.0000,-192.0000
19.9,188.0000,-192.0000
20.0,187.0000,-192.0000
20.1,187.0000,-192.0000
20.2,188.0000,-192.0000
20.3,187.0000,-192.0000
20.4,187.0000,-192.0000
20.5,187.0000,-192.0000
20.6,187.0000,-192.0000
20.7,188.0000,-192.0000
20.8,188.0000,-192.0000
20.9,187.0000,-192.0000
21.0,188.0000,-192.0000
21.1,188.0000,-192.0000
21.2,187.0000,-192.0000
21.3,188.0000,-192.0000
21.4,187.0000,-192.0000
21.5,188.0000,-192.0000
21.6,188.0000,-192.0000
21.7,188.0000,-192.0000
21.8,188.0000,-192.0000
21.9,187.0000,-192.0000
22.0,187.0000,-192.0000
22.1,187.0000,-192.0000
22.2,187.0000,-192.0000
