Time(0.1s),J2_Torque(Nm),J3_Torque(Nm)
21.1,174.0000,-194.0000
21.2,175.0000,-194.0000
21.3,175.0000,-193.0000
21.4,174.0000,-193.0000
21.5,174.0000,-193.0000
21.6,174.0000,-193.0000
21.7,175.0000,-193.0000
21.8,174.0000,-193.0000
21.9,174.0000,-193.0000
22.0,175.0000,-193.0000
22.1,175.0000,-193.0000
22.2,175.0000,-193.0000
22.3,174.0000,-193.0000
22.4,175.0000,-193.0000
22.5,174.0000,-193.0000
22.6,174.0000,-193.0000
22.7,174.0000,-193.0000
22.8,174.0000,-193.0000
22.9,175.0000,-193.0000
23.0,175.0000,-193.0000
23.1,174.0000,-193.0000
23.2,175.0000,-193.0000
23.3,175.0000,-193.0000
23.4,174.0000,-193.0000
23.5,174.0000,-193.0000
23.6,175.0000,-193.0000
23.7,174.0000,-193.0000
23.8,175.0000,-193.0000
24.0,175.0000,-193.0000
24.0,175.0000,-193.0000
24.1,176.0000,-193.0000
24.2,174.0000,-193.0000
24.3,174.0000,-193.0000
24.4,175.0000,-193.0000
24.5,174.0000,-193.0000
24.6,174.0000,-193.0000
24.7,176.0000,-193.0000
24.8,175.0000,-193.0000
24.9,175.0000,-194.0000
25.1,174.0000,-194.0000
25.1,175.0000,-194.0000
25.2,175.0000,-194.0000
25.3,175.0000,-194.0000
25.4,175.0000,-194.0000
25.6,174.0000,-194.0000
25.6,174.0000,-194.0000
25.7,174.0000,-194.0000
25.8,175.0000,-194.0000
26.0,175.0000,-194.0000
26.0,174.0000,-194.0000
26.1,174.0000,-194.0000
26.3,174.0000,-194.0000
26.3,175.0000,-194.0000
26.4,174.0000,-194.0000
26.5,174.0000,-194.0000
26.7,175.0000,-194.0000
26.7,175.0000,-194.0000
26.8,174.0000,-194.0000
26.9,175.0000,-194.0000
27.0,174.0000,-194.0000
27.2,174.0000,-194.0000
27.2,175.0000,-194.0000
27.3,175.0000,-194.0000
27.5,176.0000,-194.0000
27.5,174.0000,-194.0000
27.6,175.0000,-194.0000
27.7,174.0000,-194.0000
27.8,175.0000,-194.0000
27.9,175.0000,-194.0000
28.0,176.0000,-194.0000
28.1,174.0000,-194.0000
28.3,175.0000,-194.0000
28.3,174.0000,-194.0000
28.5,174.0000,-194.0000
28.6,175.0000,-194.0000
28.7,175.0000,-194.0000
28.7,174.0000,-194.0000
28.8,175.0000,-194.0000
29.0,175.0000,-194.0000
29.1,174.0000,-194.0000
29.2,174.0000,-194.0000
29.2,175.0000,-194.0000
29.4,175.0000,-194.0000
29.4,174.0000,-194.0000
29.5,174.0000,-195.0000
29.6,175.0000,-195.0000
29.7,175.0000,-195.0000
29.8,175.0000,-195.0000
29.9,175.0000,-195.0000
30.0,174.0000,-195.0000
30.2,175.0000,-195.0000
30.2,175.0000,-195.0000
30.3,174.0000,-195.0000
30.5,175.0000,-195.0000
30.5,174.0000,-195.0000
30.7,174.0000,-195.0000
30.7,174.0000,-195.0000
30.9,175.0000,-195.0000
30.9,175.0000,-195.0000
31.1,174.0000,-195.0000
31.1,174.0000,-195.0000
31.2,174.0000,-195.0000
31.4,175.0000,-195.0000
31.4,174.0000,-194.0000
31.5,175.0000,-194.0000
31.7,175.0000,-194.0000
31.8,175.0000,-194.0000
31.9,175.0000,-194.0000
32.0,175.0000,-194.0000
32.1,174.0000,-194.0000
32.2,174.0000,-194.0000
32.2,174.0000,-194.0000
32.3,175.0000,-194.0000
32.4,174.0000,-194.0000
32.5,175.0000,-194.0000
32.7,175.0000,-194.0000
32.7,175.0000,-194.0000
32.8,176.0000,-194.0000
33.0,175.0000,-194.0000
33.1,174.0000,-194.0000
33.2,175.0000,-194.0000
33.3,174.0000,-194.0000
33.3,174.0000,-194.0000
33.4,174.0000,-194.0000
33.6,174.0000,-194.0000
33.6,175.0000,-194.0000
33.7,174.0000,-194.0000
33.9,175.0000,-194.0000
34.0,175.0000,-194.0000
34.1,175.0000,-194.0000
34.2,175.0000,-194.0000
34.3,176.0000,-194.0000
34.4,174.0000,-194.0000
34.5,174.0000,-194.0000
34.5,174.0000,-194.0000
34.6,175.0000,-194.0000
34.8,175.0000,-194.0000
34.9,174.0000,-194.0000
34.9,175.0000,-194.0000
35.0,174.0000,-194.0000
35.1,175.0000,-194.0000
35.2,174.0000,-194.0000
35.3,175.0000,-194.0000
35.5,174.0000,-194.0000
35.6,174.0000,-194.0000
35.7,174.0000,-194.0000
35.8,174.0000,-194.0000
35.9,174.0000,-194.0000
36.0,174.0000,-194.0000
36.0,174.0000,-194.0000
36.1,174.0000,-194.0000
36.2,175.0000,-194.0000
36.3,175.0000,-193.0000
36.4,175.0000,-193.0000
36.5,175.0000,-193.0000
36.6,174.0000,-193.0000
36.7,175.0000,-193.0000
36.8,175.0000,-193.0000
36.9,175.0000,-193.0000
37.0,175.0000,-193.0000
37.1,174.0000,-193.0000
37.2,174.0000,-193.0000
37.3,174.0000,-193.0000
37.4,174.0000,-193.0000
37.5,175.0000,-193.0000
37.6,174.0000,-193.0000
37.7,174.0000,-193.0000
37.8,174.0000,-193.0000
37.9,174.0000,-193.0000
38.0,175.0000,-193.0000
38.1,174.0000,-193.0000
38.2,174.0000,-193.0000
38.3,175.0000,-193.0000
38.4,175.0000,-193.0000
38.5,174.0000,-193.0000
38.6,175.0000,-193.0000
38.7,174.0000,-193.0000
38.8,174.0000,-193.0000
38.9,174.0000,-193.0000
39.0,175.0000,-194.0000
39.1,175.0000,-194.0000
39.2,175.0000,-194.0000
39.3,174.0000,-194.0000
39.4,174.0000,-194.0000
39.5,175.0000,-194.0000
39.6,174.0000,-193.0000
39.7,174.0000,-193.0000
39.8,174.0000,-193.0000
39.9,175.0000,-193.0000
40.0,175.0000,-193.0000
40.1,174.0000,-193.0000
40.2,174.0000,-194.0000
40.3,175.0000,-194.0000
40.4,174.0000,-194.0000
40.5,175.0000,-194.0000
40.6,174.0000,-194.0000
40.7,175.0000,-194.0000
40.8,176.0000,-194.0000
40.9,174.0000,-194.0000
41.0,176.0000,-194.0000
41.1,175.0000,-194.0000
41.2,176.0000,-194.0000
41.3,174.0000,-194.0000
41.4,175.0000,-194.0000
41.6,175.0000,-195.0000
41.7,174.0000,-195.0000
41.7,174.0000,-195.0000
41.8,174.0000,-195.0000
41.9,174.0000,-195.0000
42.0,174.0000,-195.0000
42.1,174.0000,-195.0000
42.2,174.0000,-195.0000
42.3,174.0000,-195.0000
42.4,175.0000,-195.0000
42.5,176.0000,-195.0000
42.6,174.0000,-195.0000
42.7,175.0000,-195.0000
42.8,174.0000,-195.0000
42.9,175.0000,-195.0000
43.0,174.0000,-195.0000
43.1,175.0000,-195.0000
43.2,175.0000,-195.0000
43.3,175.0000,-195.0000
43.4,174.0000,-195.0000
43.5,174.0000,-195.0000
43.6,174.0000,-195.0000
43.7,175.0000,-195.0000
43.8,174.0000,-195.0000
43.9,174.0000,-195.0000
44.0,175.0000,-195.0000
44.1,174.0000,-195.0000
44.2,175.0000,-195.0000
44.3,175.0000,-195.0000
44.5,174.0000,-195.0000
44.5,174.0000,-194.0000
44.6,175.0000,-194.0000
44.7,174.0000,-194.0000
44.8,174.0000,-194.0000
44.9,175.0000,-194.0000
45.1,174.0000,-194.0000
45.2,174.0000,-194.0000
45.2,175.0000,-194.0000
45.3,174.0000,-194.0000
45.4,175.0000,-194.0000
45.5,174.0000,-194.0000
45.6,174.0000,-194.0000
45.7,174.0000,-194.0000
45.8,174.0000,-194.0000
45.9,174.0000,-194.0000
46.0,175.0000,-194.0000
46.1,174.0000,-194.0000
46.2,174.0000,-194.0000
46.3,174.0000,-194.0000
46.4,174.0000,-194.0000
46.5,174.0000,-194.0000
46.6,175.0000,-194.0000
46.7,174.0000,-194.0000
46.8,175.0000,-194.0000
46.9,174.0000,-194.0000
47.0,175.0000,-194.0000
47.1,174.0000,-194.0000
47.2,175.0000,-194.0000
47.3,174.0000,-194.0000
47.4,175.0000,-194.0000
47.5,175.0000,-194.0000
47.6,174.0000,-194.0000
47.7,175.0000,-194.0000
47.8,174.0000,-194.0000
47.9,174.0000,-194.0000
48.0,174.0000,-194.0000
48.1,175.0000,-194.0000
48.2,174.0000,-194.0000
48.3,175.0000,-194.0000
48.4,174.0000,-194.0000
48.5,175.0000,-194.0000
48.6,174.0000,-194.0000
48.7,174.0000,-194.0000
48.8,174.0000,-194.0000
48.9,174.0000,-194.0000
49.0,174.0000,-194.0000
49.1,175.0000,-194.0000
49.3,175.0000,-194.0000
49.4,174.0000,-194.0000
49.5,174.0000,-194.0000
49.6,174.0000,-194.0000
49.7,175.0000,-194.0000
49.7,175.0000,-194.0000
49.8,175.0000,-194.0000
49.9,174.0000,-194.0000
50.0,174.0000,-194.0000
50.1,175.0000,-194.0000
50.2,175.0000,-194.0000
50.3,175.0000,-194.0000
50.4,174.0000,-194.0000
50.5,175.0000,-194.0000
50.6,174.0000,-194.0000
50.7,175.0000,-194.0000
50.8,175.0000,-194.0000
51.0,174.0000,-194.0000
51.1,174.0000,-194.0000
51.1,175.0000,-194.0000
51.2,175.0000,-194.0000
51.3,175.0000,-194.0000
51.4,175.0000,-194.0000
51.5,176.0000,-194.0000
51.6,175.0000,-194.0000
51.7,175.0000,-194.0000
51.8,174.0000,-194.0000
51.9,174.0000,-194.0000
52.0,175.0000,-194.0000
52.1,176.0000,-194.0000
52.2,175.0000,-194.0000
52.3,174.0000,-194.0000
52.4,174.0000,-194.0000
52.5,174.0000,-194.0000
52.6,174.0000,-194.0000
52.7,175.0000,-194.0000
52.8,175.0000,-194.0000
52.9,174.0000,-194.0000
53.1,174.0000,-194.0000
53.1,174.0000,-194.0000
53.2,175.0000,-194.0000
53.3,175.0000,-194.0000
53.4,174.0000,-194.0000
53.5,174.0000,-194.0000
53.6,174.0000,-194.0000
53.7,174.0000,-194.0000
53.8,174.0000,-194.0000
53.9,175.0000,-194.0000
54.0,174.0000,-194.0000
54.1,174.0000,-194.0000
54.2,175.0000,-194.0000
54.3,175.0000,-194.0000
54.4,174.0000,-194.0000
54.5,174.0000,-194.0000
54.6,174.0000,-194.0000
54.7,175.0000,-194.0000
54.8,174.0000,-194.0000
54.9,174.0000,-194.0000
55.0,174.0000,-194.0000
55.1,175.0000,-194.0000
55.2,174.0000,-194.0000
55.3,175.0000,-194.0000
55.4,174.0000,-194.0000
55.5,174.0000,-194.0000
55.6,174.0000,-194.0000
55.7,174.0000,-194.0000
55.8,174.0000,-194.0000
55.9,174.0000,-194.0000
56.0,175.0000,-194.0000
56.1,175.0000,-194.0000
56.2,175.0000,-194.0000
56.3,174.0000,-194.0000
56.4,174.0000,-194.0000
56.5,174.0000,-194.0000
56.6,174.0000,-194.0000
56.7,175.0000,-194.0000
56.8,174.0000,-194.0000
57.0,174.0000,-194.0000
57.0,174.0000,-194.0000
57.1,174.0000,-194.0000
57.2,174.0000,-194.0000
57.3,174.0000,-194.0000
57.4,175.0000,-194.0000
57.5,175.0000,-194.0000
57.6,175.0000,-194.0000
57.7,174.0000,-194.0000
57.8,175.0000,-193.0000
57.9,175.0000,-193.0000
58.0,175.0000,-193.0000
58.1,174.0000,-193.0000
58.2,174.0000,-193.0000
58.3,175.0000,-193.0000
58.4,174.0000,-193.0000
58.5,175.0000,-193.0000
58.6,174.0000,-193.0000
58.7,174.0000,-193.0000
58.8,175.0000,-193.0000
58.9,175.0000,-193.0000
59.0,174.0000,-193.0000
59.1,174.0000,-193.0000
59.2,175.0000,-193.0000
59.3,173.0000,-193.0000
59.4,174.0000,-193.0000
59.5,174.0000,-193.0000
59.6,174.0000,-193.0000
59.7,174.0000,-193.0000
59.8,175.0000,-193.0000
59.9,175.0000,-193.0000
60.0,175.0000,-193.0000
60.1,176.0000,-193.0000
60.2,175.0000,-193.0000
60.3,174.0000,-193.0000
60.4,175.0000,-193.0000
60.5,174.0000,-193.0000
60.6,174.0000,-193.0000
60.7,176.0000,-193.0000
60.8,175.0000,-193.0000
60.9,174.0000,-193.0000
61.0,175.0000,-193.0000
61.1,175.0000,-193.0000
61.2,175.0000,-193.0000
61.3,175.0000,-193.0000
61.4,174.0000,-193.0000
61.5,175.0000,-193.0000
61.6,174.0000,-193.0000
61.7,174.0000,-193.0000
61.8,175.0000,-193.0000
61.9,174.0000,-193.0000
62.0,174.0000,-193.0000
62.1,174.0000,-193.0000
62.2,175.0000,-193.0000
62.3,175.0000,-193.0000
62.4,175.0000,-193.0000
62.5,174.0000,-193.0000
62.6,174.0000,-193.0000
62.7,174.0000,-193.0000
62.8,176.0000,-193.0000
62.9,175.0000,-193.0000
63.0,174.0000,-193.0000
63.1,174.0000,-193.0000
63.2,175.0000,-193.0000
63.3,175.0000,-193.0000
63.4,175.0000,-193.0000
63.5,175.0000,-193.0000
63.6,175.0000,-193.0000
63.7,175.0000,-193.0000
63.8,174.0000,-193.0000
64.0,175.0000,-193.0000
64.1,174.0000,-193.0000
64.1,174.0000,-193.0000
64.3,174.0000,-193.0000
64.4,175.0000,-193.0000
64.5,175.0000,-193.0000
64.6,174.0000,-193.0000
64.6,174.0000,-193.0000
64.8,175.0000,-193.0000
64.8,174.0000,-193.0000
65.0,174.0000,-193.0000
65.0,174.0000,-193.0000
65.2,174.0000,-193.0000
65.3,174.0000,-193.0000
65.4,175.0000,-193.0000
65.5,174.0000,-193.0000
65.6,174.0000,-193.0000
65.7,174.0000,-193.0000
65.8,174.0000,-193.0000
65.9,175.0000,-193.0000
66.0,175.0000,-193.0000
66.0,174.0000,-193.0000
66.1,174.0000,-193.0000
66.2,175.0000,-193.0000
66.3,175.0000,-193.0000
66.4,174.0000,-193.0000
66.5,174.0000,-193.0000
66.6,174.0000,-193.0000
66.7,174.0000,-193.0000
66.8,176.0000,-194.0000
66.9,174.0000,-194.0000
67.0,174.0000,-194.0000
67.1,174.0000,-194.0000
67.2,174.0000,-194.0000
67.3,174.0000,-195.0000
67.4,174.0000,-195.0000
67.5,175.0000,-195.0000
67.6,174.0000,-195.0000
67.7,174.0000,-195.0000
67.8,175.0000,-195.0000
67.9,174.0000,-195.0000
68.0,175.0000,-195.0000
68.1,174.0000,-194.0000
68.3,174.0000,-194.0000
68.4,174.0000,-194.0000
68.5,174.0000,-194.0000
68.6,174.0000,-194.0000
68.6,174.0000,-194.0000
68.7,174.0000,-195.0000
68.8,174.0000,-195.0000
68.9,174.0000,-195.0000
69.0,175.0000,-195.0000
69.1,174.0000,-195.0000
69.2,174.0000,-195.0000
69.3,174.0000,-195.0000
69.4,175.0000,-195.0000
69.5,174.0000,-195.0000
69.6,175.0000,-195.0000
69.8,175.0000,-195.0000
69.9,174.0000,-195.0000
70.0,174.0000,-195.0000
70.1,175.0000,-194.0000
70.2,175.0000,-194.0000
70.3,175.0000,-194.0000
70.4,174.0000,-194.0000
70.4,175.0000,-194.0000
70.5,174.0000,-194.0000
70.6,174.0000,-194.0000
70.7,174.0000,-194.0000
70.8,174.0000,-193.0000
70.9,174.0000,-193.0000
71.0,180.0000,-185.0000
71.1,175.0000,-190.0000
71.2,218.0000,-178.0000
71.3,218.0000,-178.0000
71.4,270.0000,-177.0000
71.5,279.0000,-160.0000
71.6,296.0000,-162.0000
71.7,307.0000,-155.0000
71.8,318.0000,-153.0000
71.9,313.0000,-151.0000
72.0,323.0000,-148.0000
72.1,315.0000,-138.0000
72.2,301.0000,-143.0000
72.3,312.0000,-145.0000
72.4,304.0000,-153.0000
72.5,305.0000,-148.0000
72.6,306.0000,-155.0000
72.7,296.0000,-149.0000
72.8,293.0000,-149.0000
72.9,297.0000,-155.0000
73.0,303.0000,-149.0000
73.1,296.0000,-157.0000
73.2,304.0000,-171.0000
73.3,291.0000,-166.0000
73.4,306.0000,-156.0000
73.5,291.0000,-160.0000
73.6,294.0000,-157.0000
73.7,295.0000,-153.0000
73.8,291.0000,-155.0000
73.9,299.0000,-156.0000
74.0,289.0000,-154.0000
74.1,290.0000,-155.0000
74.2,284.0000,-156.0000
74.3,286.0000,-157.0000
74.4,274.0000,-157.0000
74.5,287.0000,-157.0000
74.6,272.0000,-157.0000
74.7,289.0000,-156.0000
74.8,303.0000,-159.0000
75.0,296.0000,-154.0000
75.0,287.0000,-154.0000
75.1,287.0000,-160.0000
75.2,283.0000,-149.0000
75.4,288.0000,-157.0000
75.4,295.0000,-149.0000
75.6,284.0000,-153.0000
75.6,299.0000,-154.0000
75.7,282.0000,-155.0000
75.8,295.0000,-160.0000
75.9,288.0000,-154.0000
76.0,281.0000,-165.0000
76.1,275.0000,-168.0000
76.2,278.0000,-164.0000
76.3,267.0000,-166.0000
76.5,280.0000,-162.0000
76.5,290.0000,-165.0000
76.7,284.0000,-165.0000
76.8,295.0000,-160.0000
77.0,289.0000,-161.0000
77.1,282.0000,-163.0000
77.1,283.0000,-164.0000
77.1,284.0000,-163.0000
77.2,280.0000,-161.0000
77.3,284.0000,-151.0000
77.4,286.0000,-151.0000
77.6,283.0000,-162.0000
77.6,290.0000,-166.0000
77.8,283.0000,-159.0000
77.8,290.0000,-159.0000
77.9,273.0000,-151.0000
78.1,277.0000,-143.0000
78.1,274.0000,-156.0000
78.3,269.0000,-138.0000
78.4,274.0000,-143.0000
78.5,276.0000,-144.0000
78.5,281.0000,-133.0000
78.7,295.0000,-148.0000
78.8,287.0000,-150.0000
78.8,285.0000,-154.0000
78.9,277.0000,-149.0000
79.0,269.0000,-149.0000
79.1,275.0000,-150.0000
79.2,279.0000,-148.0000
79.3,272.0000,-148.0000
79.4,283.0000,-149.0000
79.5,281.0000,-153.0000
79.6,285.0000,-151.0000
79.8,279.0000,-164.0000
79.8,275.0000,-153.0000
79.9,265.0000,-160.0000
80.0,262.0000,-163.0000
80.1,254.0000,-157.0000
80.2,264.0000,-160.0000
80.3,266.0000,-160.0000
80.5,278.0000,-162.0000
80.5,289.0000,-173.0000
80.7,275.0000,-171.0000
80.8,279.0000,-170.0000
80.9,269.0000,-173.0000
81.0,277.0000,-169.0000
81.1,269.0000,-165.0000
81.1,268.0000,-167.0000
81.2,269.0000,-167.0000
81.3,267.0000,-165.0000
81.5,279.0000,-173.0000
81.6,274.0000,-172.0000
81.6,276.0000,-179.0000
81.7,265.0000,-182.0000
81.8,272.0000,-181.0000
81.9,269.0000,-185.0000
82.0,273.0000,-174.0000
82.1,262.0000,-185.0000
82.3,270.0000,-176.0000
82.3,259.0000,-176.0000
82.4,279.0000,-183.0000
82.5,277.0000,-185.0000
82.7,278.0000,-178.0000
82.8,274.0000,-185.0000
82.8,271.0000,-182.0000
83.0,268.0000,-181.0000
83.0,263.0000,-176.0000
83.1,278.0000,-174.0000
83.2,261.0000,-174.0000
83.3,280.0000,-175.0000
83.4,264.0000,-181.0000
83.5,274.0000,-181.0000
83.6,271.0000,-179.0000
83.7,264.0000,-179.0000
83.8,265.0000,-179.0000
83.9,262.0000,-180.0000
84.0,262.0000,-179.0000
84.1,250.0000,-176.0000
84.2,255.0000,-177.0000
84.3,257.0000,-168.0000
84.4,269.0000,-175.0000
84.5,275.0000,-176.0000
84.6,276.0000,-176.0000
84.7,259.0000,-182.0000
84.8,256.0000,-179.0000
84.9,266.0000,-174.0000
85.0,254.0000,-171.0000
85.1,271.0000,-174.0000
85.2,255.0000,-173.0000
85.3,269.0000,-174.0000
85.4,277.0000,-173.0000
85.6,270.0000,-174.0000
85.6,273.0000,-176.0000
85.7,265.0000,-179.0000
85.9,249.0000,-175.0000
85.9,251.0000,-174.0000
86.0,232.0000,-175.0000
86.1,232.0000,-171.0000
86.2,224.0000,-169.0000
86.4,220.0000,-173.0000
86.4,228.0000,-171.0000
86.5,214.0000,-178.0000
86.6,222.0000,-175.0000
86.7,202.0000,-179.0000
86.8,200.0000,-174.0000
86.9,194.0000,-179.0000
87.0,187.0000,-168.0000
87.1,186.0000,-182.0000
87.2,191.0000,-181.0000
87.3,194.0000,-189.0000
87.4,191.0000,-186.0000
87.5,191.0000,-186.0000
87.6,191.0000,-186.0000
87.7,191.0000,-186.0000
87.8,191.0000,-186.0000
87.9,191.0000,-186.0000
88.0,191.0000,-186.0000
88.1,191.0000,-186.0000
88.2,191.0000,-186.0000
88.3,191.0000,-186.0000
88.4,191.0000,-186.0000
88.5,191.0000,-186.0000
88.6,191.0000,-186.0000
88.7,191.0000,-186.0000
