Time(0.1s),J2_Torque(Nm),J3_Torque(Nm)
0.1,201.0000,-204.0000
0.2,201.0000,-204.0000
0.3,201.0000,-204.0000
0.3,201.0000,-204.0000
0.5,201.0000,-203.0000
0.6,201.0000,-203.0000
0.7,201.0000,-203.0000
0.8,201.0000,-203.0000
0.9,201.0000,-203.0000
1.0,201.0000,-203.0000
1.1,201.0000,-203.0000
1.2,201.0000,-203.0000
1.3,201.0000,-203.0000
1.4,201.0000,-203.0000
1.5,201.0000,-203.0000
1.6,201.0000,-203.0000
1.7,201.0000,-203.0000
1.8,201.0000,-203.0000
1.9,201.0000,-203.0000
2.0,201.0000,-203.0000
2.1,201.0000,-203.0000
2.2,201.0000,-203.0000
2.3,201.0000,-203.0000
2.4,201.0000,-203.0000
2.5,201.0000,-203.0000
2.6,201.0000,-203.0000
2.7,201.0000,-203.0000
2.8,201.0000,-203.0000
2.9,201.0000,-203.0000
2.9,201.0000,-203.0000
3.0,201.0000,-203.0000
3.1,201.0000,-203.0000
3.2,201.0000,-203.0000
3.3,201.0000,-203.0000
3.4,201.0000,-203.0000
3.5,201.0000,-203.0000
3.6,201.0000,-203.0000
3.7,201.0000,-203.0000
3.8,201.0000,-203.0000
3.9,201.0000,-203.0000
4.0,201.0000,-203.0000
4.1,201.0000,-204.0000
4.2,201.0000,-204.0000
4.3,201.0000,-204.0000
4.4,201.0000,-204.0000
4.6,201.0000,-204.0000
4.7,201.0000,-204.0000
4.8,201.0000,-204.0000
4.9,201.0000,-204.0000
5.0,201.0000,-204.0000
5.0,201.0000,-204.0000
5.1,201.0000,-204.0000
5.2,201.0000,-204.0000
5.4,201.0000,-204.0000
5.5,201.0000,-204.0000
5.5,201.0000,-204.0000
5.6,201.0000,-204.0000
5.7,201.0000,-204.0000
5.8,201.0000,-204.0000
5.9,201.0000,-204.0000
6.0,201.0000,-204.0000
6.1,201.0000,-204.0000
6.2,201.0000,-204.0000
6.4,201.0000,-204.0000
6.5,201.0000,-204.0000
6.5,201.0000,-204.0000
6.6,201.0000,-204.0000
6.7,201.0000,-204.0000
6.8,201.0000,-204.0000
6.9,201.0000,-204.0000
7.0,201.0000,-204.0000
7.1,201.0000,-204.0000
7.2,201.0000,-203.0000
7.3,201.0000,-203.0000
7.4,201.0000,-203.0000
7.5,201.0000,-203.0000
7.6,201.0000,-203.0000
7.7,201.0000,-203.0000
7.8,201.0000,-203.0000
7.9,201.0000,-203.0000
8.0,201.0000,-203.0000
8.1,201.0000,-203.0000
8.2,201.0000,-203.0000
8.3,201.0000,-203.0000
8.4,201.0000,-203.0000
8.5,201.0000,-203.0000
8.6,201.0000,-203.0000
8.7,201.0000,-203.0000
8.8,201.0000,-203.0000
9.0,201.0000,-203.0000
9.1,201.0000,-203.0000
9.1,201.0000,-203.0000
9.2,201.0000,-203.0000
9.3,201.0000,-203.0000
9.4,201.0000,-203.0000
9.5,201.0000,-203.0000
9.6,201.0000,-203.0000
9.7,201.0000,-203.0000
9.8,201.0000,-203.0000
9.9,201.0000,-203.0000
10.0,201.0000,-203.0000
10.2,201.0000,-203.0000
10.3,201.0000,-203.0000
10.3,201.0000,-203.0000
10.5,201.0000,-203.0000
10.6,201.0000,-203.0000
10.7,201.0000,-203.0000
10.8,201.0000,-203.0000
10.9,201.0000,-203.0000
10.9,201.0000,-204.0000
11.1,201.0000,-204.0000
11.2,201.0000,-204.0000
11.3,201.0000,-204.0000
11.4,201.0000,-204.0000
11.5,201.0000,-204.0000
11.6,201.0000,-204.0000
11.7,201.0000,-204.0000
11.8,201.0000,-204.0000
11.9,201.0000,-204.0000
12.0,201.0000,-204.0000
12.1,201.0000,-204.0000
12.2,201.0000,-204.0000
12.3,201.0000,-204.0000
12.4,201.0000,-204.0000
12.5,201.0000,-204.0000
12.6,201.0000,-204.0000
12.6,201.0000,-204.0000
12.7,201.0000,-204.0000
12.8,201.0000,-204.0000
13.0,201.0000,-204.0000
13.1,201.0000,-204.0000
13.2,201.0000,-204.0000
13.3,201.0000,-203.0000
13.4,201.0000,-203.0000
13.5,201.0000,-203.0000
13.6,201.0000,-203.0000
13.7,201.0000,-203.0000
13.8,201.0000,-203.0000
13.8,201.0000,-203.0000
14.0,201.0000,-203.0000
14.1,201.0000,-203.0000
14.2,201.0000,-203.0000
14.3,201.0000,-203.0000
14.3,201.0000,-203.0000
14.4,201.0000,-203.0000
14.6,201.0000,-203.0000
14.6,201.0000,-203.0000
14.7,201.0000,-203.0000
14.9,201.0000,-203.0000
15.0,201.0000,-203.0000
15.1,201.0000,-203.0000
15.1,201.0000,-203.0000
15.2,201.0000,-203.0000
15.4,201.0000,-203.0000
15.5,201.0000,-203.0000
15.6,201.0000,-203.0000
15.7,201.0000,-203.0000
15.8,201.0000,-203.0000
15.9,201.0000,-203.0000
16.0,201.0000,-203.0000
16.1,201.0000,-203.0000
16.2,201.0000,-203.0000
16.3,201.0000,-203.0000
16.4,201.0000,-203.0000
16.5,201.0000,-203.0000
16.6,201.0000,-203.0000
16.7,201.0000,-202.0000
16.8,201.0000,-202.0000
16.9,201.0000,-202.0000
17.0,201.0000,-202.0000
17.1,201.0000,-202.0000
17.2,201.0000,-202.0000
17.3,201.0000,-202.0000
17.4,201.0000,-202.0000
17.5,201.0000,-202.0000
17.5,201.0000,-202.0000
17.6,201.0000,-202.0000
17.8,201.0000,-202.0000
17.8,201.0000,-202.0000
18.0,201.0000,-202.0000
18.1,201.0000,-202.0000
18.2,201.0000,-202.0000
18.3,201.0000,-202.0000
18.4,201.0000,-202.0000
18.5,201.0000,-202.0000
18.6,201.0000,-202.0000
18.7,201.0000,-202.0000
18.8,201.0000,-203.0000
18.9,201.0000,-203.0000
19.0,201.0000,-203.0000
19.1,201.0000,-203.0000
19.2,201.0000,-203.0000
19.3,201.0000,-203.0000
19.4,201.0000,-203.0000
19.5,201.0000,-203.0000
19.6,201.0000,-203.0000
19.7,201.0000,-203.0000
19.8,201.0000,-203.0000
19.9,201.0000,-203.0000
20.0,201.0000,-203.0000
20.1,201.0000,-203.0000
20.1,201.0000,-203.0000
20.3,201.0000,-203.0000
20.4,201.0000,-203.0000
20.4,201.0000,-203.0000
20.5,201.0000,-203.0000
20.6,201.0000,-203.0000
20.7,201.0000,-204.0000
20.8,201.0000,-204.0000
20.9,201.0000,-204.0000
21.0,201.0000,-204.0000
21.1,201.0000,-204.0000
21.3,201.0000,-203.0000
21.4,201.0000,-203.0000
21.5,201.0000,-203.0000
21.5,201.0000,-203.0000
21.6,201.0000,-204.0000
21.8,201.0000,-204.0000
21.9,201.0000,-204.0000
22.0,201.0000,-204.0000
22.1,201.0000,-204.0000
22.2,201.0000,-204.0000
22.3,201.0000,-204.0000
22.4,201.0000,-204.0000
22.5,201.0000,-204.0000
22.5,201.0000,-204.0000
22.7,201.0000,-204.0000
22.8,201.0000,-204.0000
22.9,201.0000,-204.0000
23.0,201.0000,-204.0000
23.1,201.0000,-204.0000
23.2,201.0000,-204.0000
23.3,201.0000,-204.0000
23.4,201.0000,-203.0000
23.5,201.0000,-203.0000
23.5,201.0000,-203.0000
23.7,201.0000,-203.0000
23.8,201.0000,-204.0000
23.9,201.0000,-204.0000
24.0,201.0000,-204.0000
24.1,201.0000,-204.0000
24.2,201.0000,-204.0000
24.3,201.0000,-204.0000
24.4,201.0000,-204.0000
24.5,201.0000,-204.0000
24.6,201.0000,-204.0000
24.7,201.0000,-204.0000
24.8,201.0000,-204.0000
24.9,201.0000,-204.0000
25.0,201.0000,-204.0000
25.1,201.0000,-204.0000
25.2,201.0000,-204.0000
25.3,201.0000,-204.0000
25.4,201.0000,-204.0000
25.5,201.0000,-204.0000
25.5,201.0000,-204.0000
25.7,201.0000,-203.0000
25.8,201.0000,-203.0000
25.9,201.0000,-203.0000
26.0,201.0000,-203.0000
26.1,201.0000,-203.0000
26.2,201.0000,-203.0000
26.3,201.0000,-203.0000
26.4,201.0000,-203.0000
26.5,201.0000,-203.0000
26.6,201.0000,-203.0000
26.7,201.0000,-203.0000
26.8,201.0000,-203.0000
26.9,201.0000,-203.0000
27.0,201.0000,-203.0000
27.1,201.0000,-203.0000
27.2,201.0000,-203.0000
27.2,201.0000,-203.0000
27.4,201.0000,-203.0000
27.5,201.0000,-203.0000
27.6,201.0000,-203.0000
27.7,201.0000,-203.0000
27.8,201.0000,-203.0000
27.9,201.0000,-203.0000
28.0,201.0000,-203.0000
28.1,201.0000,-203.0000
28.2,201.0000,-203.0000
28.3,201.0000,-203.0000
28.4,201.0000,-203.0000
28.5,201.0000,-203.0000
28.6,201.0000,-203.0000
28.7,201.0000,-203.0000
28.8,201.0000,-203.0000
28.8,201.0000,-203.0000
28.9,201.0000,-203.0000
29.1,201.0000,-203.0000
29.1,201.0000,-203.0000
29.3,201.0000,-203.0000
29.3,201.0000,-203.0000
29.4,201.0000,-203.0000
29.5,201.0000,-203.0000
29.6,201.0000,-203.0000
29.7,201.0000,-203.0000
29.9,201.0000,-203.0000
29.9,201.0000,-203.0000
30.0,201.0000,-203.0000
30.1,201.0000,-203.0000
30.2,201.0000,-203.0000
30.4,201.0000,-203.0000
30.5,201.0000,-203.0000
30.6,201.0000,-203.0000
30.7,201.0000,-203.0000
30.8,201.0000,-203.0000
30.9,201.0000,-203.0000
31.0,201.0000,-203.0000
31.1,201.0000,-203.0000
31.2,201.0000,-203.0000
31.3,201.0000,-203.0000
31.4,201.0000,-203.0000
31.5,201.0000,-203.0000
31.6,201.0000,-203.0000
31.7,201.0000,-203.0000
31.8,201.0000,-203.0000
31.9,201.0000,-203.0000
31.9,201.0000,-203.0000
32.0,201.0000,-203.0000
32.2,201.0000,-203.0000
32.3,201.0000,-202.0000
32.4,201.0000,-202.0000
32.4,201.0000,-202.0000
32.6,201.0000,-202.0000
32.6,201.0000,-202.0000
32.7,201.0000,-202.0000
32.9,201.0000,-202.0000
33.0,201.0000,-202.0000
33.0,201.0000,-202.0000
33.2,201.0000,-202.0000
33.2,201.0000,-202.0000
33.3,201.0000,-202.0000
33.5,201.0000,-202.0000
33.6,201.0000,-202.0000
33.6,201.0000,-202.0000
33.8,201.0000,-202.0000
33.8,201.0000,-202.0000
34.0,201.0000,-202.0000
34.1,201.0000,-203.0000
34.2,201.0000,-203.0000
34.3,201.0000,-203.0000
34.4,201.0000,-203.0000
34.5,201.0000,-203.0000
34.6,201.0000,-203.0000
34.7,201.0000,-203.0000
34.8,201.0000,-203.0000
34.8,201.0000,-203.0000
34.9,201.0000,-203.0000
35.0,201.0000,-203.0000
35.2,201.0000,-203.0000
35.3,201.0000,-203.0000
35.4,201.0000,-204.0000
35.5,201.0000,-203.0000
35.6,201.0000,-203.0000
35.7,201.0000,-203.0000
35.8,201.0000,-203.0000
35.9,201.0000,-203.0000
36.0,201.0000,-203.0000
36.1,201.0000,-203.0000
36.2,201.0000,-203.0000
36.3,201.0000,-203.0000
36.4,201.0000,-203.0000
36.5,201.0000,-203.0000
36.6,201.0000,-203.0000
36.6,201.0000,-203.0000
36.7,201.0000,-203.0000
36.8,201.0000,-203.0000
36.9,201.0000,-203.0000
37.0,201.0000,-203.0000
37.1,201.0000,-203.0000
37.2,201.0000,-203.0000
37.4,201.0000,-203.0000
37.4,201.0000,-203.0000
37.6,201.0000,-203.0000
37.6,201.0000,-202.0000
37.8,201.0000,-202.0000
37.8,201.0000,-202.0000
38.0,201.0000,-202.0000
38.0,201.0000,-202.0000
38.1,201.0000,-202.0000
38.2,201.0000,-202.0000
38.4,201.0000,-202.0000
38.5,201.0000,-202.0000
38.5,201.0000,-202.0000
38.7,201.0000,-202.0000
38.8,201.0000,-202.0000
38.9,201.0000,-202.0000
38.9,201.0000,-203.0000
39.0,201.0000,-203.0000
39.1,201.0000,-203.0000
39.3,201.0000,-203.0000
39.3,201.0000,-203.0000
39.4,201.0000,-203.0000
39.5,201.0000,-203.0000
39.7,201.0000,-203.0000
39.8,201.0000,-203.0000
39.9,201.0000,-203.0000
40.0,201.0000,-203.0000
40.0,201.0000,-203.0000
40.1,201.0000,-203.0000
40.2,201.0000,-203.0000
40.4,201.0000,-203.0000
40.5,201.0000,-203.0000
40.5,201.0000,-203.0000
40.6,201.0000,-203.0000
40.7,201.0000,-203.0000
40.9,201.0000,-203.0000
41.0,201.0000,-203.0000
41.1,201.0000,-203.0000
41.1,201.0000,-203.0000
41.2,201.0000,-203.0000
41.4,201.0000,-203.0000
41.5,201.0000,-203.0000
41.5,201.0000,-203.0000
41.6,201.0000,-203.0000
41.7,201.0000,-203.0000
41.9,201.0000,-203.0000
42.0,201.0000,-203.0000
42.1,201.0000,-203.0000
42.2,201.0000,-203.0000
42.2,201.0000,-203.0000
42.4,201.0000,-203.0000
42.5,201.0000,-203.0000
42.6,201.0000,-203.0000
42.7,201.0000,-203.0000
42.8,201.0000,-203.0000
42.9,201.0000,-203.0000
43.0,201.0000,-203.0000
43.1,201.0000,-203.0000
43.2,201.0000,-203.0000
43.3,201.0000,-203.0000
43.4,201.0000,-203.0000
43.5,201.0000,-203.0000
43.6,201.0000,-203.0000
43.7,201.0000,-203.0000
43.8,201.0000,-203.0000
43.9,201.0000,-203.0000
44.0,201.0000,-203.0000
44.1,201.0000,-203.0000
44.2,201.0000,-203.0000
44.3,201.0000,-203.0000
44.4,201.0000,-203.0000
44.5,201.0000,-203.0000
44.6,201.0000,-203.0000
44.7,201.0000,-203.0000
44.7,201.0000,-203.0000
44.8,201.0000,-203.0000
44.9,201.0000,-203.0000
45.0,201.0000,-203.0000
45.1,201.0000,-203.0000
45.2,201.0000,-203.0000
45.3,201.0000,-203.0000
45.4,201.0000,-203.0000
45.5,201.0000,-203.0000
45.6,201.0000,-203.0000
45.7,201.0000,-202.0000
45.9,201.0000,-202.0000
46.0,201.0000,-202.0000
46.0,201.0000,-203.0000
46.2,201.0000,-203.0000
46.3,201.0000,-203.0000
46.4,201.0000,-201.0000
46.5,201.0000,-201.0000
46.6,201.0000,-201.0000
46.7,201.0000,-201.0000
46.8,201.0000,-202.0000
46.8,201.0000,-203.0000
46.9,201.0000,-203.0000
47.0,201.0000,-203.0000
47.1,201.0000,-203.0000
47.3,201.0000,-203.0000
47.4,201.0000,-203.0000
47.5,201.0000,-204.0000
47.5,201.0000,-204.0000
47.7,201.0000,-204.0000
47.7,201.0000,-204.0000
47.9,201.0000,-204.0000
47.9,201.0000,-204.0000
48.1,201.0000,-204.0000
48.1,201.0000,-204.0000
48.3,201.0000,-204.0000
48.4,201.0000,-204.0000
48.4,201.0000,-204.0000
48.6,201.0000,-204.0000
48.7,201.0000,-203.0000
48.8,201.0000,-203.0000
48.9,201.0000,-203.0000
48.9,201.0000,-203.0000
49.1,201.0000,-203.0000
49.2,201.0000,-203.0000
49.3,201.0000,-203.0000
49.4,201.0000,-203.0000
49.5,201.0000,-203.0000
49.6,201.0000,-203.0000
49.7,201.0000,-203.0000
49.8,201.0000,-203.0000
49.9,201.0000,-203.0000
50.0,201.0000,-203.0000
50.1,201.0000,-203.0000
50.2,201.0000,-203.0000
50.3,201.0000,-203.0000
50.4,201.0000,-204.0000
50.5,201.0000,-204.0000
50.6,201.0000,-204.0000
50.7,201.0000,-204.0000
50.8,201.0000,-204.0000
50.9,201.0000,-204.0000
51.0,201.0000,-204.0000
51.1,201.0000,-204.0000
51.2,201.0000,-204.0000
51.3,201.0000,-204.0000
51.4,201.0000,-204.0000
51.4,201.0000,-204.0000
51.6,201.0000,-204.0000
51.7,201.0000,-204.0000
51.8,201.0000,-204.0000
51.9,201.0000,-204.0000
52.0,201.0000,-204.0000
52.1,201.0000,-204.0000
52.2,201.0000,-204.0000
52.3,201.0000,-204.0000
52.3,201.0000,-204.0000
52.5,201.0000,-204.0000
52.6,201.0000,-204.0000
52.7,201.0000,-204.0000
52.7,201.0000,-203.0000
52.8,201.0000,-203.0000
52.9,201.0000,-203.0000
53.0,201.0000,-203.0000
53.1,201.0000,-203.0000
53.2,201.0000,-203.0000
53.4,201.0000,-203.0000
53.4,201.0000,-203.0000
53.6,201.0000,-203.0000
53.6,201.0000,-203.0000
53.7,201.0000,-203.0000
53.8,201.0000,-203.0000
53.9,201.0000,-203.0000
54.0,201.0000,-203.0000
54.1,201.0000,-202.0000
54.2,201.0000,-202.0000
54.4,201.0000,-202.0000
54.5,201.0000,-202.0000
54.5,201.0000,-202.0000
54.6,201.0000,-202.0000
54.7,201.0000,-202.0000
54.9,201.0000,-202.0000
55.0,201.0000,-202.0000
55.1,201.0000,-202.0000
55.2,201.0000,-202.0000
55.3,201.0000,-202.0000
55.4,201.0000,-202.0000
55.5,201.0000,-202.0000
55.6,201.0000,-202.0000
55.7,201.0000,-202.0000
55.7,201.0000,-201.0000
55.9,201.0000,-201.0000
55.9,201.0000,-201.0000
56.0,201.0000,-201.0000
56.2,201.0000,-201.0000
56.3,201.0000,-201.0000
56.4,201.0000,-201.0000
56.4,201.0000,-201.0000
56.6,201.0000,-201.0000
56.7,201.0000,-201.0000
56.7,201.0000,-201.0000
56.8,201.0000,-202.0000
56.9,201.0000,-202.0000
57.1,201.0000,-202.0000
57.1,201.0000,-202.0000
57.2,201.0000,-202.0000
57.4,201.0000,-202.0000
57.4,201.0000,-202.0000
57.5,201.0000,-202.0000
57.6,201.0000,-202.0000
57.7,201.0000,-202.0000
57.8,201.0000,-202.0000
58.0,201.0000,-202.0000
58.0,201.0000,-203.0000
58.1,201.0000,-203.0000
58.2,201.0000,-203.0000
58.3,201.0000,-203.0000
58.5,201.0000,-203.0000
58.6,201.0000,-203.0000
58.7,201.0000,-203.0000
58.7,201.0000,-203.0000
58.8,201.0000,-203.0000
58.9,201.0000,-203.0000
59.0,201.0000,-203.0000
59.1,201.0000,-203.0000
59.2,201.0000,-203.0000
59.3,201.0000,-203.0000
59.4,201.0000,-203.0000
59.5,201.0000,-203.0000
59.6,201.0000,-203.0000
59.7,201.0000,-203.0000
59.8,201.0000,-203.0000
59.9,201.0000,-203.0000
60.0,201.0000,-203.0000
60.1,201.0000,-203.0000
60.2,201.0000,-203.0000
60.4,201.0000,-203.0000
60.5,201.0000,-203.0000
60.6,201.0000,-203.0000
60.7,201.0000,-203.0000
60.7,201.0000,-204.0000
60.8,201.0000,-204.0000
60.9,201.0000,-204.0000
61.0,201.0000,-204.0000
61.1,201.0000,-204.0000
61.2,201.0000,-204.0000
61.4,201.0000,-204.0000
61.4,201.0000,-203.0000
61.5,201.0000,-203.0000
61.7,201.0000,-203.0000
61.8,201.0000,-203.0000
61.9,201.0000,-203.0000
61.9,201.0000,-203.0000
62.1,201.0000,-203.0000
62.2,201.0000,-203.0000
62.3,201.0000,-203.0000
62.4,201.0000,-203.0000
62.5,201.0000,-203.0000
62.6,201.0000,-203.0000
62.7,201.0000,-203.0000
62.8,201.0000,-203.0000
62.8,201.0000,-203.0000
62.9,201.0000,-203.0000
63.0,201.0000,-203.0000
63.2,201.0000,-203.0000
63.3,201.0000,-203.0000
63.4,201.0000,-203.0000
63.5,201.0000,-203.0000
63.6,201.0000,-203.0000
63.7,201.0000,-203.0000
63.8,201.0000,-203.0000
63.9,201.0000,-203.0000
64.0,201.0000,-203.0000
64.1,201.0000,-203.0000
64.2,201.0000,-203.0000
64.3,201.0000,-203.0000
64.4,201.0000,-203.0000
64.5,201.0000,-203.0000
64.6,201.0000,-203.0000
64.7,201.0000,-203.0000
64.8,201.0000,-203.0000
64.9,201.0000,-202.0000
65.0,201.0000,-203.0000
65.0,201.0000,-203.0000
65.2,201.0000,-203.0000
65.4,201.0000,-203.0000
65.5,201.0000,-203.0000
65.5,201.0000,-203.0000
65.9,201.0000,-203.0000
65.9,201.0000,-203.0000
65.9,201.0000,-203.0000
65.9,201.0000,-203.0000
66.0,201.0000,-202.0000
66.1,201.0000,-202.0000
66.2,201.0000,-202.0000
66.2,201.0000,-202.0000
66.4,201.0000,-202.0000
66.5,201.0000,-202.0000
66.6,201.0000,-202.0000
66.7,201.0000,-203.0000
66.8,201.0000,-203.0000
66.9,201.0000,-203.0000
67.0,201.0000,-203.0000
67.1,201.0000,-203.0000
67.2,201.0000,-203.0000
67.2,201.0000,-203.0000
67.3,201.0000,-203.0000
67.5,201.0000,-203.0000
67.5,201.0000,-203.0000
67.6,201.0000,-203.0000
67.8,201.0000,-203.0000
67.9,201.0000,-203.0000
68.0,201.0000,-203.0000
68.1,201.0000,-203.0000
68.2,201.0000,-203.0000
68.3,201.0000,-203.0000
68.4,201.0000,-203.0000
68.5,201.0000,-203.0000
68.5,201.0000,-203.0000
68.6,201.0000,-203.0000
68.8,201.0000,-203.0000
68.9,201.0000,-203.0000
69.0,201.0000,-203.0000
69.0,201.0000,-203.0000
69.2,201.0000,-203.0000
69.2,201.0000,-203.0000
69.4,201.0000,-203.0000
69.5,201.0000,-203.0000
69.6,201.0000,-203.0000
69.7,201.0000,-203.0000
69.8,201.0000,-203.0000
69.9,201.0000,-203.0000
70.0,201.0000,-203.0000
70.1,201.0000,-203.0000
70.2,201.0000,-203.0000
70.3,201.0000,-203.0000
